"","method","bias","rmse","coverage"
"1","RDD",-1.83647796043997,20.7826256337044,5.72
"2","RDD_half_bw",-0.829204196997789,27.6604329356499,5
"3","RDD_double_bw",-8.26804182444737,18.2784744306675,10.36
"4","OLS",-63.4026108160525,64.1267413474704,100
"5","Forest_ATE",-3.15685736598288,11.2497925323341,8.00999999999999
"6","Forest_ATT",-2.2448629809044,9.42388326282212,6.48
"7","Forest_overlap",-3.24905481822386,4.40742953079053,13.89
"8","Forest_close_ATE",-1.16984018240759,21.1111601085075,1.78
"9","Forest_close_ATT",-3.48993238400396,10.1478914616103,5.86
"10","Forest_close_overlap",0.112693293514455,3.53374953283905,4.4
"11","Forest_very_close_ATE",2.0356570244501,25.545987658327,1.85
"12","Forest_very_close_ATT",-2.68096266620179,10.9633599063164,3.92
"13","Forest_very_close_overlap",2.27976726132573,4.98617584922,6.83
"14","McCrary",NA,NA,5.62
