"","method","bias","rmse","coverage"
"1","RDD",0.0190585742078734,22.3735933488882,5.61
"2","RDD_half_bw",0.0247437315892539,29.8799437084578,4.62
"3","RDD_double_bw",-0.299908190611994,16.6729103670318,5.06
"4","OLS",-3.58193617507669,10.5151807362949,6.33
"5","Forest_ATE",-1.24271491914463,19.4385939696648,5.05
"6","Forest_ATT",-0.95291617802728,20.145963500401,5.25
"7","Forest_overlap",-1.46341566166847,8.12362215143853,5.53
"8","Forest_close_ATE",-1.93069471240315,31.923065362639,1.39
"9","Forest_close_ATT",-3.44666981152993,20.8368200084818,3.4
"10","Forest_close_overlap",-0.460342837245041,8.80165661651465,5.08
"11","Forest_very_close_ATE",-1.94778507447266,52.6253523199449,1.18
"12","Forest_very_close_ATT",-4.23893556069584,24.9973087562066,2.82
"13","Forest_very_close_overlap",0.183145661207816,11.0890304639365,5.11
"14","McCrary",NA,NA,5.62
