"","method","bias","rmse","coverage"
"1","RDD",-2.07266922419557,21.868546067568,5.77
"2","RDD_half_bw",-0.918557005353992,29.0851657202418,4.98
"3","RDD_double_bw",-9.3919320692848,19.6846271371198,11.1
"4","OLS",-71.9483564310781,72.6715937331016,100
"5","Forest_ATE",-3.29860295932429,12.214378280793,8.72000000000001
"6","Forest_ATT",-2.24761572471884,9.630625383177,6.36
"7","Forest_overlap",-3.43553850343943,4.47679161871124,15.48
"8","Forest_close_ATE",-1.16170429445802,23.4432641968578,1.68
"9","Forest_close_ATT",-3.43717619257484,10.3863186801726,6.18
"10","Forest_close_overlap",0.0240019587625397,3.44358895664976,4.29
"11","Forest_very_close_ATE",2.24601194589923,27.4792411389233,1.74
"12","Forest_very_close_ATT",-2.51804791628043,10.8867730265454,3.65
"13","Forest_very_close_overlap",2.23451378825673,4.85803594530709,6.47
"14","McCrary",NA,NA,5.62
