"method","bias","rmse","coverage"
"RDD",-0.46364579816327,74.5660221162716,5.3807615230461
"RDD_half_bw",-1.07596873641591,100.221537856962,5.43086172344689
"RDD_double_bw",1.24110294091282,56.7631368986729,5.42084168336673
"OLS",13.0829606248832,36.0582451072132,6.52304609218437
"Forest_ATE",1.78924457632703,41.9564959425266,6.39278557114229
"Forest_ATT",-0.0407949795085294,48.8419839634309,6.15230460921844
"Forest_overlap",4.03705211813006,28.8808020125606,4.80961923847696
"Forest_close_ATE",-1.93154380868072,58.2915631143872,1.91382765531062
"Forest_close_ATT",-1.38508442087184,50.5308760124333,4.24849699398797
"Forest_close_overlap",-0.104279137130314,32.1942916643217,4.97995991983968
"Forest_very_close_ATE",-6.64885777894352,96.062961868003,1.99398797595191
"Forest_very_close_ATT",-3.65699053745286,62.0129648091555,4.01803607214429
"Forest_very_close_overlap",-3.52586727327483,40.5905386534863,5.40080160320642
"McCrary",NA,NA,6.60320641282565
