"method","bias","rmse","coverage"
"RDD",0.742889458119445,33.6841166808192,5.65130260521042
"RDD_half_bw",0.413049848349201,45.1788163787529,4.97995991983968
"RDD_double_bw",2.01500804666093,25.4499817221473,5.50100200400801
"OLS",13.4218754020363,20.1279237918849,13.8877755511022
"Forest_ATE",-0.18534052592919,22.2494162004502,5.86172344689379
"Forest_ATT",-0.637703285917024,26.4600416740164,6.05210420841683
"Forest_overlap",0.262270775717632,12.7951511146748,4.8997995991984
"Forest_close_ATE",-2.75232134869028,32.2459772478191,1.71342685370741
"Forest_close_ATT",-2.11911482362206,26.9706653023279,3.92785571142285
"Forest_close_overlap",-1.40862817648909,14.2542206180736,5.03006012024048
"Forest_very_close_ATE",-4.43381486347652,53.5606111491896,1.52304609218437
"Forest_very_close_ATT",-2.8083674943424,32.7281036267005,3.27655310621242
"Forest_very_close_overlap",-2.52148862647606,17.8908831391773,5.55110220440882
"McCrary",NA,NA,6.12224448897796
