datadate,cpi
19730228,25.4739
19730331,25.7109
19730430,25.8886
19730531,26.0071
19730630,26.1848
19730731,26.1848
19730831,26.6588
19730930,26.7773
19731031,27.0142
19731130,27.1919
19731231,27.4289
19740131,27.7251
19740228,28.0213
19740331,28.3175
19740430,28.4953
19740531,28.7915
19740630,29.0284
19740731,29.2062
19740831,29.5616
19740930,29.9763
19741031,30.2133
19741130,30.5095
19741231,30.7464
19750131,30.9834
19750228,31.1611
19750331,31.2796
19750430,31.3981
19750531,31.4573
19750630,31.6943
19750731,31.9905
19750831,32.109
19750930,32.346
19751031,32.5237
19751130,32.7607
19751231,32.9384
19760131,33.0569
19760229,33.1161
19760331,33.1754
19760430,33.2346
19760531,33.4123
19760630,33.59
19760731,33.7678
19760831,33.9455
19760930,34.1232
19761031,34.3009
19761130,34.4194
19761231,34.5972
19770131,34.7749
19770228,35.1303
19770331,35.3081
19770430,35.545
19770531,35.6635
19770630,35.8412
19770731,36.019
19770831,36.1967
19770930,36.3152
19771031,36.4929
19771130,36.7299
19771231,36.9076
19780131,37.1445
19780228,37.3223
19780331,37.5592
19780430,37.8555
19780531,38.2109
19780630,38.5071
19780731,38.8033
19780831,39.0403
19780930,39.3957
19781031,39.7512
19781130,39.9882
19781231,40.2251
19790131,40.5806
19790228,40.9953
19790331,41.41
19790430,41.8246
19790531,42.2986
19790630,42.7725
19790731,43.2464
19790831,43.6611
19790930,44.0758
19791031,44.5498
19791130,45.0237
19791231,45.5569
19800131,46.2085
19800229,46.8009
19800331,47.4526
19800430,47.9265
19800531,48.4005
19800630,48.8744
19800731,48.9336
19800831,49.2891
19800930,49.7038
19801031,50.1777
19801130,50.7109
19801231,51.1848
19810131,51.6588
19810228,52.1327
19810331,52.4882
19810430,52.7844
19810531,53.1398
19810630,53.6137
19810731,54.2062
19810831,54.6209
19810930,55.154
19811031,55.3318
19811130,55.5687
19811231,55.7464
19820131,55.9242
19820228,56.1019
19820331,56.1019
19820430,56.2796
19820531,56.8128
19820630,57.4645
19820731,57.7607
19820831,57.8791
19820930,57.8791
19821031,58.1161
19821130,58.0569
19821231,57.8791
19830131,57.9976
19830228,58.0569
19830331,58.1161
19830430,58.5308
19830531,58.7678
19830630,58.8863
19830731,59.1232
19830831,59.3009
19830930,59.4787
19831031,59.7156
19831130,59.8934
19831231,60.0711
19840131,60.4858
19840229,60.782
19840331,60.9597
19840430,61.1967
19840531,61.3152
19840630,61.4336
19840731,61.6706
19840831,61.8483
19840930,62.0261
19841031,62.263
19841130,62.3815
19841231,62.5
19850131,62.6185
19850228,62.9739
19850331,63.2701
19850430,63.3886
19850531,63.5071
19850630,63.6848
19850731,63.8033
19850831,63.9218
19850930,64.0403
19851031,64.2773
19851130,64.5735
19851231,64.8697
19860131,65.1066
19860228,64.9882
19860331,64.6327
19860430,64.3957
19860531,64.5735
19860630,64.8104
19860731,64.8697
19860831,64.9289
19860930,65.1659
19861031,65.2844
19861130,65.4028
19861231,65.6398
19870131,65.9953
19870228,66.2322
19870331,66.4692
19870430,66.7654
19870531,66.9431
19870630,67.2393
19870731,67.4171
19870831,67.7133
19870930,67.9502
19871031,68.128
19871130,68.3649
19871231,68.4834
19880131,68.7204
19880229,68.8389
19880331,69.0166
19880430,69.4313
19880531,69.609
19880630,69.9052
19880731,70.2014
19880831,70.4976
19880930,70.7938
19881031,71.0308
19881130,71.2678
19881231,71.5047
19890131,71.8009
19890228,72.0379
19890331,72.3934
19890430,72.9265
19890531,73.282
19890630,73.519
19890731,73.7559
19890831,73.7559
19890930,73.9336
19891031,74.2891
19891130,74.5853
19891231,74.8223
19900131,75.5332
19900228,75.8294
19900331,76.1848
19900430,76.3626
19900531,76.481
19900630,76.955
19900731,77.3104
19900831,77.9621
19900930,78.4953
19901031,79.0284
19901130,79.2062
19901231,79.5024
19910131,79.7986
19910228,79.8578
19910331,79.8578
19910430,80.0355
19910531,80.3318
19910630,80.5687
19910731,80.6872
19910831,80.9242
19910930,81.1611
19911031,81.2796
19911130,81.6351
19911231,81.872
19920131,81.9313
19920229,82.109
19920331,82.4052
19920430,82.5829
19920531,82.7607
19920630,82.9976
19920731,83.2346
19920831,83.4123
19920930,83.59
19921031,83.9455
19921130,84.1825
19921231,84.3009
19930131,84.5972
19930228,84.7749
19930331,84.8934
19930430,85.1896
19930531,85.4265
19930630,85.4858
19930731,85.6043
19930831,85.782
19930930,85.9005
19931031,86.2559
19931130,86.4929
19931231,86.6706
19940131,86.6706
19940228,86.9076
19940331,87.1445
19940430,87.2038
19940531,87.3815
19940630,87.6185
19940731,87.9147
19940831,88.2701
19940930,88.4479
19941031,88.5071
19941130,88.7441
19941231,88.9218
19950131,89.1588
19950228,89.3957
19950331,89.5735
19950430,89.9289
19950531,90.1066
19950630,90.2844
19950731,90.4028
19950831,90.5806
19950930,90.6991
19951031,90.936
19951130,91.0545
19951231,91.173
19960131,91.6469
19960229,91.8246
19960331,92.1209
19960430,92.4763
19960531,92.654
19960630,92.8318
19960731,93.0095
19960831,93.128
19960930,93.4242
19961031,93.7204
19961130,94.0166
19961231,94.2536
19970131,94.4313
19970228,94.609
19970331,94.6682
19970430,94.7275
19970531,94.7275
19970630,94.9052
19970731,95.0237
19970831,95.2607
19970930,95.4976
19971031,95.6754
19971130,95.7938
19971231,95.8531
19980131,95.9716
19980228,95.9716
19980331,95.9716
19980430,96.09
19980531,96.327
19980630,96.4455
19980731,96.6825
19980831,96.8009
19980930,96.8602
19981031,97.0972
19981130,97.2156
19981231,97.3934
19990131,97.5711
19990228,97.5711
19990331,97.6303
19990430,98.282
19990531,98.3412
19990630,98.3412
19990731,98.7559
19990831,98.9929
19990930,99.4076
19991031,99.5853
19991130,99.763
19991231,100
20000131,100.2962
20000229,100.7109
20000331,101.3033
20000430,101.2441
20000531,101.4218
20000630,102.0142
20000731,102.3104
20000831,102.3104
20000930,102.8436
20001031,103.0213
20001130,103.1991
20001231,103.436
20010131,104.0284
20010228,104.2654
20010331,104.3246
20010430,104.5024
20010531,105.0355
20010630,105.2725
20010731,105.0948
20010831,105.0948
