"","method","bias","rmse","coverage"
"1","RDD",-25.2956532246441,36.272589056811,19.08
"2","RDD_half_bw",-40.3611731995035,52.8007453224345,24.07
"3","RDD_double_bw",-13.820805638941,23.9420226909206,12.2
"4","OLS",13.8881103011127,17.5718015582267,25.28
"5","Forest_ATE",0.232109198766957,24.4696167602608,5.32
"6","Forest_ATT",-0.0121022268261659,23.3793163435755,5.52
"7","Forest_overlap",0.36566477356896,9.09382522892169,5.27
"8","Forest_close_ATE",-1.85456966417507,45.235602177,1.39
"9","Forest_close_ATT",-1.32433499651477,24.3743113752735,2.93
"10","Forest_close_overlap",-0.711284521651473,10.263977518568,4.97
"11","Forest_very_close_ATE",-3.78650629046171,80.0592735360329,1.32
"12","Forest_very_close_ATT",-2.94876531581867,29.5234105475571,2.76999999999999
"13","Forest_very_close_overlap",-2.02583882497655,12.9536045483715,5.11
"14","McCrary",NA,NA,100
