"","method","bias","rmse","coverage"
"1","RDD",-49.7367419310803,57.1576318964985,48.52
"2","RDD_half_bw",-67.5555833182886,76.5651004423,50.5
"3","RDD_double_bw",-33.6593246812207,39.998122981694,38.63
"4","OLS",14.3321958381621,17.9246375967973,26.55
"5","Forest_ATE",0.661609721166731,24.5017198776037,5.38
"6","Forest_ATT",0.429477860038382,23.4204650577837,5.86
"7","Forest_overlap",0.813593427593009,9.12147283224041,5.23
"8","Forest_close_ATE",-2.09335201753205,46.1195696531597,1.14
"9","Forest_close_ATT",-1.28160922201743,25.1080391121363,2.84
"10","Forest_close_overlap",-0.487216980294455,10.6460003076374,4.83
"11","Forest_very_close_ATE",-2.52923645097639,78.4470480589204,1.43
"12","Forest_very_close_ATT",-2.25572102445862,29.9729153918823,2.72
"13","Forest_very_close_overlap",-1.18274705155226,13.5321315657244,4.99000000000001
"14","McCrary",NA,NA,100
