"","method","bias","rmse","coverage"
"1","RDD",-88.8175811700128,101.709122223415,44.7
"2","RDD_half_bw",-96.1306600346166,117.410837438722,30.23
"3","RDD_double_bw",-78.0575224643847,86.1160269951589,61.43
"4","OLS",15.6657864044662,19.0074513948534,30.27
"5","Forest_ATE",2.00919106067142,26.763738781003,5.45
"6","Forest_ATT",1.75182882200702,23.9534280706957,5.74
"7","Forest_overlap",2.15802019946185,9.34190568855305,5.89
"8","Forest_close_ATE",0.2951886693662,84.4548041563205,0.990000000000002
"9","Forest_close_ATT",0.466644156544128,28.1807932466955,2.8
"10","Forest_close_overlap",1.42036375809827,12.6871872498845,4.86
"11","Forest_very_close_ATE",0.858173686599718,119.838256100279,1.12
"12","Forest_very_close_ATT",-0.81071575950998,30.8091991127929,3.22
"13","Forest_very_close_overlap",-0.211801004402127,15.6566191884926,4.71
"14","McCrary",NA,NA,100
