"","method","bias","rmse","coverage"
"1","RDD",-13.4801477503539,28.1854560002074,9.64
"2","RDD_half_bw",-23.7001107419027,40.4226245196859,11.82
"3","RDD_double_bw",-5.99666869483156,19.6593387260436,6.8
"4","OLS",13.7399918600073,17.4551205404545,24.87
"5","Forest_ATE",0.0816408489951584,24.3419582286745,5.32
"6","Forest_ATT",-0.152334739283148,23.3278307556178,5.53
"7","Forest_overlap",0.217297944066922,9.09030338048972,5.23
"8","Forest_close_ATE",-1.95689002390583,43.6149775398813,1.59
"9","Forest_close_ATT",-1.45010801929464,24.0362890228665,3.23
"10","Forest_close_overlap",-0.868383703109643,10.1553284280919,4.95
"11","Forest_very_close_ATE",-4.00434363979562,78.2206764127283,1.41
"12","Forest_very_close_ATT",-2.93581000360798,29.1862877536627,3.06999999999999
"13","Forest_very_close_overlap",-2.08457078928126,12.7430375852676,5.41
"14","McCrary",NA,NA,98.12
