"method","bias","rmse","coverage"
"RDD",-63.0058588391476,69.8244433186597,60.9519038076152
"RDD_half_bw",-78.5673678416348,87.4628654049335,56.2925851703407
"RDD_double_bw",-47.0077898057987,52.3981714774261,57.8456913827655
"OLS",14.7729088977294,18.2067922044533,27.6452905811623
"Forest_ATE",1.0143408656206,18.1841711121271,5.32064128256513
"Forest_ATT",0.817409358654952,21.2989609314908,5.72144288577154
"Forest_overlap",1.25549710206312,9.07811000734335,5.1002004008016
"Forest_close_ATE",-1.95674542651998,34.7271024646837,1.15230460921844
"Forest_close_ATT",-0.979758499145067,23.0412053407097,2.82565130260521
"Forest_close_overlap",-0.0323678375978798,10.7210628372187,4.4689378757515
"Forest_very_close_ATE",-1.90838180108557,55.5834930790002,1.2124248496994
"Forest_very_close_ATT",-1.58736599077394,27.324646103076,2.85571142284569
"Forest_very_close_overlap",-0.512919576717896,13.447608760332,4.72945891783567
"McCrary",NA,NA,100
