"","method","bias","rmse","coverage"
"1","RDD",-63.0274430948995,69.9863896410546,60.93
"2","RDD_half_bw",-78.5915783946939,87.6743257201639,56.26
"3","RDD_double_bw",-47.0167898536436,52.5127854020745,57.83
"4","OLS",14.7767367424727,18.2819653486419,27.73
"5","Forest_ATE",1.00780935775791,25.6802805567727,5.31
"6","Forest_ATT",0.801373102042621,23.934981656528,5.71
"7","Forest_overlap",1.26092895080582,9.17332557333915,5.28999999999999
"8","Forest_close_ATE",-1.95259905707459,54.7449154118988,1.15
"9","Forest_close_ATT",-1.00113327583576,26.0279058951436,2.82
"10","Forest_close_overlap",-0.0265748253813452,10.8383715267718,4.66
"11","Forest_very_close_ATE",-1.90991183720309,91.5967166372841,1.21
"12","Forest_very_close_ATT",-1.61146785775628,30.4630849117327,2.85
"13","Forest_very_close_overlap",-0.509749067182489,13.5855173244213,4.92
"14","McCrary",NA,NA,100
