"","method","bias","rmse","coverage"
"1","RDD",0.167189108903849,22.383220492928,5.45
"2","RDD_half_bw",-0.0619339712946316,30.040914696964,4.98
"3","RDD_double_bw",1.66671428780486,16.9805550321331,5.31
"4","OLS",187.700333464609,187.974383842786,100
"5","Forest_ATE",194.436739553387,195.72002891796,99.72
"6","Forest_ATT",199.937868422077,201.167913905382,99.67
"7","Forest_overlap",178.254987387008,178.452931143944,100
"8","Forest_close_ATE",130.96652023552,137.781205271069,97.05
"9","Forest_close_ATT",130.299850654545,133.80558980962,99.04
"10","Forest_close_overlap",124.978133347795,126.64675804555,100
"11","Forest_very_close_ATE",78.5261241281919,105.026891755426,55.08
"12","Forest_very_close_ATT",87.3101747292818,92.735428991043,91.52
"13","Forest_very_close_overlap",85.7669256785081,87.5489788343022,99.96
"14","McCrary",NA,NA,5.91
