"method","bias","rmse","coverage"
"RDD",0.16618093636025,22.065288012491,5.26052104208417
"RDD_half_bw",-0.0514310422206399,29.5861469748956,4.78957915831664
"RDD_double_bw",1.66960230755469,16.7823943427651,5.12024048096192
"OLS",187.69779202117,187.965702998622,100
"Forest_ATE",194.391523824756,195.133861593514,99.8697394789579
"Forest_ATT",199.915719586298,200.883768635189,99.8196392785571
"Forest_overlap",178.254467480092,178.448391920672,100
"Forest_close_ATE",130.974826397467,134.998698262833,97.2444889779559
"Forest_close_ATT",130.286848633892,133.309582173195,99.2284569138277
"Forest_close_overlap",124.969141218583,126.609382683475,100
"Forest_very_close_ATE",78.5251617116497,91.7075475654962,55.2004008016032
"Forest_very_close_ATT",87.2891662631961,91.7863385251219,91.7034068136273
"Forest_very_close_overlap",85.7559838329894,87.4941004322397,100
"McCrary",NA,NA,5.92184368737475
