"method","bias","rmse","coverage"
"RDD",0.651426557918566,19.7787337404696,5.60120240480962
"RDD_half_bw",0.598210890406725,26.5208788237989,4.8997995991984
"RDD_double_bw",1.92330390151305,15.0830623672948,5.33066132264529
"OLS",348.920178934816,349.046254626836,100
"Forest_ATE",374.978431957881,375.33435373996,100
"Forest_ATT",385.834310305147,386.263677872309,100
"Forest_overlap",343.234636171909,343.314872063339,100
"Forest_close_ATE",253.962065428117,258.178800638872,99.8897795591182
"Forest_close_ATT",252.226199389077,255.822558346345,99.9799599198397
"Forest_close_overlap",241.37580105401,244.026906078358,100
"Forest_very_close_ATE",155.361926405649,165.208722982915,92.9158316633267
"Forest_very_close_ATT",170.65076207618,174.445861308082,99.8196392785571
"Forest_very_close_overlap",166.958252452459,169.093219204016,100
"McCrary",NA,NA,5.81162324649299
