"","method","bias","rmse","coverage"
"1","RDD",0.134584372052754,23.2463533710813,5.32
"2","RDD_half_bw",-0.221645801321922,30.8912582359139,4.77
"3","RDD_double_bw",1.61094831770157,17.7123224554806,5.80000000000001
"4","OLS",83.2619276489894,83.9090254362293,100
"5","Forest_ATE",77.6498191068903,80.0669396867369,97.36
"6","Forest_ATT",79.7562131717334,82.5858116932445,95.88
"7","Forest_overlap",71.2958283509751,71.8221571552643,100
"8","Forest_close_ATE",50.9460543943289,60.2300365452891,59.11
"9","Forest_close_ATT",50.9389074162098,56.0670998721674,74.36
"10","Forest_close_overlap",49.1276164325152,50.6437239290993,99.13
"11","Forest_very_close_ATE",28.8078396688973,61.7559169203179,11.52
"12","Forest_very_close_ATT",33.1424329922022,43.1342772925471,33.22
"13","Forest_very_close_overlap",32.8770783547391,35.4432561061517,75.6
"14","McCrary",NA,NA,6.24
