"method","bias","rmse","coverage"
"RDD",0.632219217601504,23.2617416889069,5.44088176352705
"RDD_half_bw",0.474367446665003,31.2002098741779,4.85971943887775
"RDD_double_bw",1.95150813502418,17.7658429031827,5.51102204408818
"OLS",48.5092087237405,49.5971986111286,99.8196392785571
"Forest_ATE",38.7256520907348,42.4810954239677,75.8416833667335
"Forest_ATT",39.6388815502011,44.5824717049332,64.6392785571142
"Forest_overlap",35.7385913607511,36.7520160306498,98.7775551102204
"Forest_close_ATE",24.1476839499906,36.0770807018378,18.2965931863727
"Forest_close_ATT",24.4696634259732,32.3472707125349,27.1442885771543
"Forest_close_overlap",24.0806445863797,26.1758848628138,69.2184368737475
"Forest_very_close_ATE",12.0094528584635,46.4978925686694,3.01603206412826
"Forest_very_close_ATT",15.0913118728403,29.5266583927908,9.02805611222445
"Forest_very_close_overlap",15.5637135847577,19.7605322023854,27.9458917835671
"McCrary",NA,NA,6.04208416833667
