"method","bias","rmse","coverage"
"RDD",0.144757052932087,22.9473375678639,5.13026052104208
"RDD_half_bw",-0.20535421551674,30.4560007238965,4.57915831663327
"RDD_double_bw",1.61403778534701,17.518066045975,5.61122244488977
"OLS",83.2588844249332,83.8919171215022,100
"Forest_ATE",77.6620376605298,79.526919416611,97.5450901803607
"Forest_ATT",79.7566360754895,82.246127485124,96.062124248497
"Forest_overlap",71.2956304655825,71.8107659000561,100
"Forest_close_ATE",50.9081509441692,57.7517139736501,59.2384769539078
"Forest_close_ATT",50.9361276396026,55.4916598494031,74.5090180360721
"Forest_close_overlap",49.1310576935099,50.6171902955488,99.2284569138277
"Forest_very_close_ATE",28.7233159458773,53.3624281954825,11.5531062124248
"Forest_very_close_ATT",33.1261198324154,42.0242787816511,33.2865731462926
"Forest_very_close_overlap",32.8834302380101,35.3971033212912,75.6613226452906
"McCrary",NA,NA,6.24248496993988
