"method","bias","rmse","coverage"
"RDD",0.391621665133579,20.6852600597555,5.29058116232465
"RDD_half_bw",0.136861831682467,27.8219528101136,4.47895791583166
"RDD_double_bw",1.88222684739368,15.7721440262939,5.01002004008017
"OLS",292.263645137347,292.42395377322,100
"Forest_ATE",311.345511405221,311.745632232821,100
"Forest_ATT",320.354936165377,320.878586923022,100
"Forest_overlap",285.234300538344,285.342305924088,100
"Forest_close_ATE",211.014319751999,214.747257543177,99.6492985971944
"Forest_close_ATT",209.657361523993,212.809812948394,99.9899799599198
"Forest_close_overlap",200.778496452384,202.99673545656,100
"Forest_very_close_ATE",128.488148603394,138.146742855609,85.6513026052104
"Forest_very_close_ATT",141.455410999694,145.129914362336,99.2585170340681
"Forest_very_close_overlap",138.556697006812,140.466677242023,100
"McCrary",NA,NA,5.91182364729459
