"method","bias","rmse","coverage"
"RDD",0.424246924868998,23.070806432629,5.62124248496993
"RDD_half_bw",0.136849342994827,31.1159333333528,5.09018036072144
"RDD_double_bw",1.93900279630648,17.5875045780425,5.37074148296593
"OLS",35.4243511154821,36.9018083104933,92.2344689378757
"Forest_ATE",24.1740758865314,29.9670886200379,41.6132264529058
"Forest_ATT",24.6746914629686,32.0941641236955,32.8356713426854
"Forest_overlap",22.3601392787875,23.9619849552573,72.625250501002
"Forest_close_ATE",14.3317920090407,30.6316554502288,7.0440881763527
"Forest_close_ATT",14.7346516554666,25.7195954662803,11.8236472945892
"Forest_close_overlap",14.694397630318,17.7202939073609,35.1503006012024
"Forest_very_close_ATE",5.94515588850253,46.4525994218492,1.78356713426854
"Forest_very_close_ATT",8.53219601563058,26.933492671893,4.73947895791583
"Forest_very_close_overlap",9.03880365064369,15.0361062051825,13.12625250501
"McCrary",NA,NA,6.05210420841683
