"method","bias","rmse","coverage"
"RDD",0.618689416920559,21.4871612029472,5.67134268537074
"RDD_half_bw",0.665022056782738,28.6240280558728,4.8997995991984
"RDD_double_bw",1.9175000449853,16.2996834457733,5.23046092184368
"OLS",253.139221746229,253.329739343225,100
"Forest_ATE",267.86090974839,268.415347700003,100
"Forest_ATT",275.501828556564,276.205947773804,99.9899799599198
"Forest_overlap",245.218571432929,245.34923785017,100
"Forest_close_ATE",181.535637943741,185.531822381214,99.1783567134269
"Forest_close_ATT",180.213642168572,183.37650816987,99.8697394789579
"Forest_close_overlap",172.387572585686,174.398294416943,100
"Forest_very_close_ATE",110.711477594029,122.123300047308,77.0440881763527
"Forest_very_close_ATT",121.598530631775,125.635026654038,98.0160320641283
"Forest_very_close_overlap",118.775928603004,120.603143248336,100
"McCrary",NA,NA,5.80160320641283
