"method","bias","rmse","coverage"
"RDD",0.127983313545244,22.8778194021894,4.90981963927856
"RDD_half_bw",-0.231468342254648,30.575424573837,4.63927855711422
"RDD_double_bw",1.68454436243091,17.4140434172561,4.96993987975952
"OLS",57.1358102051015,58.0612301826386,100
"Forest_ATE",48.3873884192328,51.3390838519457,87.5851703406814
"Forest_ATT",49.6215790898149,53.5675239209943,79.9599198396794
"Forest_overlap",44.5680621386344,45.3932457565053,100
"Forest_close_ATE",30.7853484459807,40.5644982528752,28.8276553106212
"Forest_close_ATT",31.0370023439473,37.5363942381319,41.3326653306613
"Forest_close_overlap",30.2724519455417,32.120937685545,84.749498997996
"Forest_very_close_ATE",16.028783486115,47.0938002490803,4.23847695390781
"Forest_very_close_ATT",19.5368536952202,32.0006423162696,13.6172344689379
"Forest_very_close_overlap",19.7457670539454,23.2909131929984,40.7214428857715
"McCrary",NA,NA,6.24248496993988
