"method","bias","rmse","coverage"
"RDD",0.285703449842223,22.8901623230268,5.19038076152305
"RDD_half_bw",-0.0371292099953791,30.7571557540931,4.52905811623246
"RDD_double_bw",1.81885311253278,17.445494553999,5.01002004008017
"OLS",22.2916405385626,24.5864091082461,56.5430861723447
"Forest_ATE",9.47586706991326,19.5675810174401,11.4028056112224
"Forest_ATT",9.55342507226165,22.3686386369497,9.94989979959919
"Forest_overlap",8.92160288292971,12.4162303012642,17.625250501002
"Forest_close_ATE",4.1360948527408,25.7351807355722,1.8937875751503
"Forest_close_ATT",4.69705744832829,21.0220777247275,3.87775551102204
"Forest_close_overlap",5.17890838015984,10.9296588566656,8.42685370741483
"Forest_very_close_ATE",-0.320476751453669,42.7087923504762,1.44288577154309
"Forest_very_close_ATT",1.75386805889066,24.8386038540411,2.99599198396794
"Forest_very_close_overlap",2.2591217631817,12.112599519281,5.43086172344689
"McCrary",NA,NA,6.25250501002004
