"","method","bias","rmse","coverage"
"1","RDD",0.21704657692812,23.1188007567091,5.41
"2","RDD_half_bw",-0.0912999559452351,31.1985093498661,4.75
"3","RDD_double_bw",1.84327910695769,17.6158769087061,5.28
"4","OLS",17.9591656600716,20.7890556119877,39.79
"5","Forest_ATE",4.84483879737028,23.9119402089952,6.47
"6","Forest_ATT",4.67714630413272,22.9256459429322,6.54
"7","Forest_overlap",4.49293880737804,9.81640578199608,8.1
"8","Forest_close_ATE",1.22957768494805,37.0911191001292,1.47
"9","Forest_close_ATT",1.61344356692694,22.8580339841045,3.2
"10","Forest_close_overlap",2.06826592930081,9.90613514636833,5.76
"11","Forest_very_close_ATE",-1.66601018413648,65.3034597495878,1.35999999999999
"12","Forest_very_close_ATT",-0.253774233927491,27.374611574047,2.69
"13","Forest_very_close_overlap",0.24037206007628,11.972177073194,5.07
"14","McCrary",NA,NA,6.05
