"","method","bias","rmse","coverage"
"1","RDD",0.334577565451545,23.2315292081845,5.66
"2","RDD_half_bw",-0.0160214320541012,30.7505561542295,4.89000000000001
"3","RDD_double_bw",1.65310217865917,17.5370926974152,5.75
"4","OLS",135.518939976438,135.9115426864,100
"5","Forest_ATE",136.606544771936,138.741354590706,99.42
"6","Forest_ATT",140.352318452134,142.178111240555,99.28
"7","Forest_overlap",124.790982421918,125.085090217011,100
"8","Forest_close_ATE",91.7942563466203,100.719916366929,89.77
"9","Forest_close_ATT",91.0809032249452,95.0705820015678,96.36
"10","Forest_close_overlap",86.9993480633784,88.4691373260951,100
"11","Forest_very_close_ATE",55.1556759894515,88.7569925082316,32.79
"12","Forest_very_close_ATT",60.7859633638826,67.6173540577784,73.15
"13","Forest_very_close_overlap",59.2944508264347,61.2215748673355,98.59
"14","McCrary",NA,NA,6.04
