"","method","bias","rmse","coverage"
"1","RDD",0.68733783620803,18.8434438991213,5.32
"2","RDD_half_bw",0.503499378974181,25.3711622405404,5.41
"3","RDD_double_bw",1.89645630188028,14.3974248765388,5.4
"4","OLS",396.810361280885,396.917443517213,100
"5","Forest_ATE",428.724434450913,429.179499088353,99.97
"6","Forest_ATT",441.095172810348,441.506398014774,99.99
"7","Forest_overlap",392.232281762411,392.297050469398,100
"8","Forest_close_ATE",289.939410830882,295.120897113898,99.74
"9","Forest_close_ATT",287.823783198111,291.768638594721,99.95
"10","Forest_close_overlap",275.537473752839,278.497660846909,100
"11","Forest_very_close_ATE",177.656591242798,191.4181124929,96.26
"12","Forest_very_close_ATT",194.868530082565,198.918191765678,99.77
"13","Forest_very_close_overlap",190.774190777132,193.101814016606,100
"14","McCrary",NA,NA,5.77
