"","method","bias","rmse","coverage"
"1","RDD",0.0803755186893598,23.1997332050237,5.27
"2","RDD_half_bw",-0.208930897712847,31.0795428163712,4.84
"3","RDD_double_bw",1.48899033450215,17.5256558301953,5.08
"4","OLS",48.3239361012801,49.430450463074,99.55
"5","Forest_ATE",38.4975012851405,44.6243771295402,74.19
"6","Forest_ATT",39.5246743308481,45.5715219104626,63.67
"7","Forest_overlap",35.634282299221,36.6773872488661,98.13
"8","Forest_close_ATE",23.8129745321353,44.3265919744191,18.56
"9","Forest_close_ATT",24.3916212909803,33.9396171499904,27.42
"10","Forest_close_overlap",23.9563851222849,26.1163284073453,68.93
"11","Forest_very_close_ATE",11.4022480539203,66.7944156682985,2.89
"12","Forest_very_close_ATT",15.0447744635811,31.7822186172794,8.88
"13","Forest_very_close_overlap",15.3157446031484,19.6776155826734,27.45
"14","McCrary",NA,NA,5.96
