"","method","bias","rmse","coverage"
"1","RDD",0.169649531175853,23.1900148541047,5.28
"2","RDD_half_bw",-0.193426710442731,31.0565246474997,4.84
"3","RDD_double_bw",1.76555580280313,17.6088577527616,5.26
"4","OLS",39.7200806895822,41.0751764548031,96.45
"5","Forest_ATE",28.7648936699114,34.7657061893494,53.75
"6","Forest_ATT",29.4513700559381,36.470029044745,43.82
"7","Forest_overlap",26.7474703273371,28.1310229788608,86.61
"8","Forest_close_ATE",17.1692332176758,34.9450844973198,10.41
"9","Forest_close_ATT",17.7344901529618,28.3564416137029,16.47
"10","Forest_close_overlap",17.7572869951761,20.4616951476415,46.87
"11","Forest_very_close_ATE",7.43234876938264,52.458451533844,1.99
"12","Forest_very_close_ATT",10.5469439419363,28.4559383337199,5.64
"13","Forest_very_close_overlap",11.0526479990719,16.4315032365144,17.43
"14","McCrary",NA,NA,6.24
