"","method","bias","rmse","coverage"
"1","RDD",0.62432680980124,21.7762444234863,5.86
"2","RDD_half_bw",0.677305832860193,29.0358540130424,5.08999999999999
"3","RDD_double_bw",1.91425625018332,16.4866775311142,5.42
"4","OLS",253.138347803901,253.332837572709,100
"5","Forest_ATE",267.971500271674,268.65836682506,99.89
"6","Forest_ATT",275.568628030171,276.357470870216,99.94
"7","Forest_overlap",245.217331868683,245.350721497207,100
"8","Forest_close_ATE",181.720124579905,186.374891138249,98.98
"9","Forest_close_ATT",180.273622036129,183.597482996546,99.75
"10","Forest_close_overlap",172.401305251836,174.441723678716,100
"11","Forest_very_close_ATE",111.09229505799,126.032427985701,76.89
"12","Forest_very_close_ATT",121.687793656963,126.063168135201,97.81
"13","Forest_very_close_overlap",118.80752644447,120.677564396872,100
"14","McCrary",NA,NA,5.8
