"method","bias","rmse","coverage"
"RDD",0.205350597294762,21.1776599109433,5.03006012024048
"RDD_half_bw",-0.0361631319800937,28.4724962366401,4.50901803607214
"RDD_double_bw",1.76709671138726,16.1664767359506,5.06012024048096
"OLS",257.408937285868,257.595638546562,100
"Forest_ATE",272.349975557046,272.848845799954,99.939879759519
"Forest_ATT",280.202807919878,280.849923839823,99.9498997995992
"Forest_overlap",249.572708579107,249.701497484703,100
"Forest_close_ATE",184.285262525663,188.041788855864,99.2585170340681
"Forest_close_ATT",183.095575364438,186.109450500883,99.7895791583166
"Forest_close_overlap",175.378701631914,177.364862561014,100
"Forest_very_close_ATE",111.804896014369,122.419968654545,78.0561122244489
"Forest_very_close_ATT",123.335325845485,127.129385372291,98.3066132264529
"Forest_very_close_overlap",120.78296087472,122.569941575547,100
"McCrary",NA,NA,5.97194388777555
