"","method","bias","rmse","coverage"
"1","RDD",0.612946106531666,22.8703156273723,5.64
"2","RDD_half_bw",0.794279553976766,30.4955221760682,4.93
"3","RDD_double_bw",1.91470715039395,17.3028213217262,5.44
"4","OLS",157.333816648158,157.665973483442,100
"5","Forest_ATE",160.666324402188,161.976529896125,99.67
"6","Forest_ATT",165.070975199981,166.478055508535,99.65
"7","Forest_overlap",147.172858520888,147.416871337915,100
"8","Forest_close_ATE",108.206681355278,114.151942376974,93.59
"9","Forest_close_ATT",107.522689774865,111.024682831902,97.96
"10","Forest_close_overlap",103.11513036256,104.666311032197,100
"11","Forest_very_close_ATE",65.0961709943662,85.9327726865722,43.11
"12","Forest_very_close_ATT",72.0611011677608,77.7786833251192,83.03
"13","Forest_very_close_overlap",70.5533351463189,72.3604035671882,99.81
"14","McCrary",NA,NA,5.77
