"","method","bias","rmse","coverage"
"1","RDD",0.393702676011154,20.9594864839999,5.48
"2","RDD_half_bw",0.141143496950993,28.2117512746177,4.67
"3","RDD_double_bw",1.8857313383869,15.9516453348439,5.2
"4","OLS",292.266190659083,292.430296296947,100
"5","Forest_ATE",311.358752199015,311.939685509994,99.92
"6","Forest_ATT",320.357395108423,320.978874357154,99.93
"7","Forest_overlap",285.234401095721,285.344724881402,100
"8","Forest_close_ATE",211.012056828074,215.487033636671,99.47
"9","Forest_close_ATT",209.674213263438,213.001258105985,99.88
"10","Forest_close_overlap",200.800072956474,203.047988956441,100
"11","Forest_very_close_ATE",128.569008494006,141.494241988781,85.47
"12","Forest_very_close_ATT",141.497744994074,145.49095585573,99.07
"13","Forest_very_close_overlap",138.594600299412,140.547211259972,100
"14","McCrary",NA,NA,5.9
