"","method","bias","rmse","coverage"
"1","RDD",0.61176528498686,43.4185074759227,5.62
"2","RDD_half_bw",0.615214664789896,58.2520789996497,5
"3","RDD_double_bw",1.91171555192795,32.755263501401,5.34
"4","OLS",13.5923040900674,23.6354918261047,10.03
"5","Forest_ATE",0.624573008646016,27.4848356711523,5.95
"6","Forest_ATT",-0.0206270401830864,32.3910560642956,6.03
"7","Forest_overlap",1.08797673321675,16.5603748683374,5.04
"8","Forest_close_ATE",-2.23115840860273,40.3914138778761,1.74
"9","Forest_close_ATT",-1.72015865363312,33.2841983777979,3.67
"10","Forest_close_overlap",-1.08329737918882,18.3924616451685,5.06
"11","Forest_very_close_ATE",-4.8797386826482,68.4904567667453,1.41
"12","Forest_very_close_ATT",-2.89934386305906,40.709407329212,3.35
"13","Forest_very_close_overlap",-2.81832807965362,23.2543729712238,5.44
"14","McCrary",NA,NA,6.53
