"method","bias","rmse","coverage"
"RDD",-1.06344491077831,106.185431733493,6.10220440881764
"RDD_half_bw",-1.20017273415775,142.819414045832,5.74148296593187
"RDD_double_bw",0.768912624116758,81.0493591561864,5.70140280561122
"OLS",13.1022184757009,49.3580239193876,5.56112224448898
"Forest_ATE",2.9134413888652,55.2925087663276,6.73346693386774
"Forest_ATT",0.00257584932685795,63.2503047527957,6.73346693386774
"Forest_overlap",7.93660197644357,41.0126195910147,4.78957915831664
"Forest_close_ATE",-3.61496905978287,77.3406657211,2.18436873747495
"Forest_close_ATT",-2.18370631757592,67.5171690415458,4.97995991983968
"Forest_close_overlap",1.7808673711913,45.956822066802,4.82965931863727
"Forest_very_close_ATE",-11.4526678667091,125.443414322187,2.07414829659318
"Forest_very_close_ATT",-5.36722379696583,82.7675629133867,4.41883767535071
"Forest_very_close_overlap",-3.22140689283826,58.3917198091842,4.96993987975952
"McCrary",NA,NA,6.37274549098196
