"method","bias","rmse","coverage"
"RDD",0.608529860208762,42.8720381565809,5.44088176352705
"RDD_half_bw",0.623099595333687,57.5322142323125,4.81963927855712
"RDD_double_bw",1.90863944963724,32.3917328778616,5.17034068136273
"OLS",13.5917340888234,23.4778396230404,9.85971943887776
"Forest_ATE",0.625700674679708,26.5001115873205,5.95190380761523
"Forest_ATT",-0.0220056999366558,31.5148415689169,6.04208416833667
"Forest_overlap",1.08614823585353,16.3999704782996,4.84969939879759
"Forest_close_ATE",-2.22978984089425,37.9085194045929,1.75350701402806
"Forest_close_ATT",-1.71196872252962,32.2880878530266,3.66733466933867
"Forest_close_overlap",-1.08360306689934,18.1924666210108,4.86973947895791
"Forest_very_close_ATE",-4.83499626675861,63.2142564473667,1.41282565130261
"Forest_very_close_ATT",-2.88418233120582,39.394982024468,3.35671342685371
"Forest_very_close_overlap",-2.81356167680498,23.0059691414762,5.26052104208417
"McCrary",NA,NA,6.53306613226453
