"","method","bias","rmse","coverage"
"1","RDD",0.115241146758883,27.5634227895141,5.08
"2","RDD_half_bw",-0.167706727788699,37.0560284851881,4.59000000000001
"3","RDD_double_bw",1.54609729529436,20.8738543728358,5.08999999999999
"4","OLS",13.6003821914565,18.3556399656243,19.07
"5","Forest_ATE",0.020883620416232,23.6778232556859,5.33
"6","Forest_ATT",-0.227763566409608,24.6709487886492,5.58
"7","Forest_overlap",0.16130372667784,10.4916378705261,5.18
"8","Forest_close_ATE",-2.34219119424192,37.0554916647149,1.44
"9","Forest_close_ATT",-1.7869030651734,25.1816305147522,3.18000000000001
"10","Forest_close_overlap",-1.21285317576331,11.6590751089727,5.14
"11","Forest_very_close_ATE",-4.38081286094126,60.3632114485254,1.34
"12","Forest_very_close_ATT",-2.90455506119208,30.7816947418687,3.12
"13","Forest_very_close_overlap",-2.42972813511721,14.7505490851849,5.68
"14","McCrary",NA,NA,6.05
