"","method","bias","rmse","coverage"
"1","RDD",-1.05302049105065,107.559662281283,6.21
"2","RDD_half_bw",-1.20281371684334,144.80925058837,5.86
"3","RDD_double_bw",0.804206792706428,82.0143710629454,5.81
"4","OLS",13.0965973406781,49.8442777547005,5.7
"5","Forest_ATE",2.62826451679431,61.1365741602135,6.64
"6","Forest_ATT",0.00569573347916246,64.957531845173,6.66
"7","Forest_overlap",7.9237464198397,41.444548808478,4.92
"8","Forest_close_ATE",-4.04344555022175,88.7098296937357,2.13
"9","Forest_close_ATT",-2.18148277561149,69.1400862902496,4.91
"10","Forest_close_overlap",1.7625643484326,46.4676850987841,4.95
"11","Forest_very_close_ATE",-12.0085518200451,144.740115288265,2.04
"12","Forest_very_close_ATT",-5.33942613647456,84.6223580286287,4.36
"13","Forest_very_close_overlap",-3.20148594770757,59.1764850023792,5.12
"14","McCrary",NA,NA,6.37
