"method","bias","rmse","coverage"
"RDD",0.124691788128861,27.2087011237258,4.8997995991984
"RDD_half_bw",-0.158903817688072,36.5394129526695,4.39879759519038
"RDD_double_bw",1.5524054094626,20.6366713558662,4.8997995991984
"OLS",13.5994301533799,18.2706146424171,18.9579158316633
"Forest_ATE",0.0512623745624108,19.6872136981245,5.34068136272545
"Forest_ATT",-0.235173220288065,23.2644244539766,5.59118236472946
"Forest_overlap",0.160178878831507,10.3883268033966,4.98997995991984
"Forest_close_ATE",-2.31990195835258,29.1358789604892,1.44288577154309
"Forest_close_ATT",-1.80164322358696,23.6678733794102,3.19639278557114
"Forest_close_overlap",-1.21308457714211,11.5385792856683,4.95991983967936
"Forest_very_close_ATE",-4.6097714130965,49.7721408061668,1.34268537074148
"Forest_very_close_ATT",-2.94524048600555,29.0529847265362,3.13627254509018
"Forest_very_close_overlap",-2.42769344332351,14.5761708061914,5.49098196392785
"McCrary",NA,NA,6.04208416833667
