"","method","bias","rmse","coverage"
"1","RDD",0.500444972883705,24.0747559425433,5.41
"2","RDD_half_bw",0.116095479918002,32.0709186926403,4.73
"3","RDD_double_bw",1.92407606209296,18.0497814631981,5.26
"4","OLS",13.5064859568976,17.2432676412179,23.81
"5","Forest_ATE",-0.306500667976366,24.2156727063673,4.97
"6","Forest_ATT",-0.710576663223608,23.2340596597778,5.41
"7","Forest_overlap",0.00260839595307005,9.02000406066725,5.24
"8","Forest_close_ATE",-2.46304848449234,39.226210202592,1.54
"9","Forest_close_ATT",-2.04211802894029,23.8130131786451,3.12
"10","Forest_close_overlap",-1.16667340494872,10.0121168927843,5.18999999999999
"11","Forest_very_close_ATE",-4.38446153423316,67.6390465091766,1.21
"12","Forest_very_close_ATT",-3.06869045005356,28.5148193085489,2.83
"13","Forest_very_close_overlap",-2.09166351373799,12.7183951985187,5.23
"14","McCrary",NA,NA,5.62
