"","method","bias","rmse","coverage"
"1","RDD",-4.79352818460573,24.5039168284291,5.79
"2","RDD_half_bw",-5.15199553273709,32.5241690044941,4.82
"3","RDD_double_bw",-3.34281342127442,18.2140587703331,5.37
"4","OLS",6.51984076200972,12.5265935471223,9.31
"5","Forest_ATE",-0.704710780357142,24.7064595195519,5.04
"6","Forest_ATT",2.09224817206846,23.3126602672724,5.58
"7","Forest_overlap",-5.97716567797278,10.8239591740342,10.08
"8","Forest_close_ATE",-3.86530954717439,36.5736478171854,1.73
"9","Forest_close_ATT",-2.24123050870715,23.7851994011061,3.25
"10","Forest_close_overlap",-6.86094601110596,12.0794497752451,9.91
"11","Forest_very_close_ATE",-5.10255790680679,57.9084369329156,1.24
"12","Forest_very_close_ATT",-4.65592954504274,28.5015601159133,3.08
"13","Forest_very_close_overlap",-7.39477424571561,14.5523878366549,9.79
"14","McCrary",NA,NA,5.62
