"","method","bias","rmse","coverage"
"1","RDD",-8.34805655416,25.4332404753983,7.15
"2","RDD_half_bw",-8.65423330250405,33.2651398462119,5.61
"3","RDD_double_bw",-6.85749175441209,19.1554579024723,6.84
"4","OLS",1.86207729875116,10.8479461149908,4.97
"5","Forest_ATE",-0.903218603555597,25.0719595061633,5.08999999999999
"6","Forest_ATT",3.91466063667908,23.6604221414659,5.94
"7","Forest_overlap",-9.97223169233084,13.4585066538434,19.86
"8","Forest_close_ATE",-5.07004038910461,38.2296998503519,1.98
"9","Forest_close_ATT",-2.59179099183094,23.9686174505853,3.3
"10","Forest_close_overlap",-10.6196020640003,14.5565322943068,18.57
"11","Forest_very_close_ATE",-6.01771059976733,61.7565960389835,1.42
"12","Forest_very_close_ATT",-6.08139874600377,28.9236401421251,3.47
"13","Forest_very_close_overlap",-10.9179422392073,16.6134961438596,15.07
"14","McCrary",NA,NA,5.62
