"","method","bias","rmse","coverage"
"1","RDD",-11.8930844748242,26.8228885704927,8.63
"2","RDD_half_bw",-12.1497329986198,34.3625206120408,6.76
"3","RDD_double_bw",-10.3679902052377,20.661267945474,9.05
"4","OLS",-2.7956861645074,11.0425582532081,5.41
"5","Forest_ATE",-1.14205761474883,24.9504007437203,5.28999999999999
"6","Forest_ATT",5.73604395566446,24.0214368337568,6.85
"7","Forest_overlap",-13.9777561106052,16.6543790626832,34.03
"8","Forest_close_ATE",-6.78633689269257,38.7632961948267,2.3
"9","Forest_close_ATT",-3.17858840318174,24.0929324505733,3.55
"10","Forest_close_overlap",-14.4257911121332,17.5382217933712,30.63
"11","Forest_very_close_ATE",-7.79846565083529,64.0486687474439,1.65999999999999
"12","Forest_very_close_ATT",-7.8464359391893,29.4216712462044,4.21
"13","Forest_very_close_overlap",-14.4564632396866,19.1228650258014,21.86
"14","McCrary",NA,NA,5.62
