"","method","bias","rmse","coverage"
"1","RDD",-26.5155870396861,37.0996678551093,20.29
"2","RDD_half_bw",-41.2802239622042,53.4561183475557,24.98
"3","RDD_double_bw",-15.252710482352,24.7757792490737,13.64
"4","OLS",11.5592285694834,15.7911856743182,19.03
"5","Forest_ATE",-0.0358737515383964,21.1706188985391,5.23
"6","Forest_ATT",0.816635181742205,22.7801672403888,5.68
"7","Forest_overlap",-1.62323719011774,9.23406745939445,5.58999999999999
"8","Forest_close_ATE",-2.59045296093469,36.3394554381172,1.3
"9","Forest_close_ATT",-1.53586026114942,23.6985339355975,2.94
"10","Forest_close_overlap",-2.57900084130186,10.5492531693587,5.82
"11","Forest_very_close_ATE",-4.46403610936462,62.9493537321842,1.31
"12","Forest_very_close_ATT",-3.59461123071441,28.9926453906101,2.79
"13","Forest_very_close_overlap",-3.75463905894255,13.3366336928459,5.81
"14","McCrary",NA,NA,100
