"","method","bias","rmse","coverage"
"1","RDD",-65.7483661386463,72.1866981891822,65.82
"2","RDD_half_bw",-79.6163414655809,88.3883600341532,58.45
"3","RDD_double_bw",-51.9141067563697,56.7115676863613,67.33
"4","OLS",-1.52543537893223,10.8524378820425,4.99000000000001
"5","Forest_ATE",0.166319389765213,26.5206145543183,5.37
"6","Forest_ATT",7.07140842236312,25.1809184726879,7.60999999999999
"7","Forest_overlap",-12.7173271992122,15.6577156008163,29.66
"8","Forest_close_ATE",-6.2016372313687,55.5320744680847,1.83
"9","Forest_close_ATT",-4.08304888151515,26.4745277111477,3.37
"10","Forest_close_overlap",-12.8220821399681,16.8232268819438,23.43
"11","Forest_very_close_ATE",-4.61120670557739,92.6384508789108,1.35
"12","Forest_very_close_ATT",-7.6373140202875,31.4091975767626,4.2
"13","Forest_very_close_overlap",-12.3383041080763,18.3082461526726,15.94
"14","McCrary",NA,NA,100
