"","method","bias","rmse","coverage"
"1","RDD",-31.3477103712554,40.567174960336,25.89
"2","RDD_half_bw",-44.9108890056561,56.1316519342621,28.87
"3","RDD_double_bw",-20.951266727963,28.5613540460545,20.82
"4","OLS",2.24370164296631,10.9763066240057,5.35
"5","Forest_ATE",-0.469424182716975,25.7142225257772,5.50000000000001
"6","Forest_ATT",4.32891255197232,24.1707560733222,6.48
"7","Forest_overlap",-9.60835981989115,13.2456684358178,19.4
"8","Forest_close_ATE",-4.86584618992838,47.8872021009488,1.6
"9","Forest_close_ATT",-2.64351640921161,24.8749973666445,3.28000000000001
"10","Forest_close_overlap",-10.087296008172,14.3955691189783,17.1
"11","Forest_very_close_ATE",-5.52102554046643,84.931892007382,1.5
"12","Forest_very_close_ATT",-6.42319920844156,30.5460533240387,3.59
"13","Forest_very_close_overlap",-10.6943129345197,16.6816873195157,13.62
"14","McCrary",NA,NA,100
