"","method","bias","rmse","coverage"
"1","RDD",-88.5148505026556,100.833997049892,46.58
"2","RDD_half_bw",-95.7302020948727,116.085839862369,31.34
"3","RDD_double_bw",-78.4148798807468,86.0426495081806,64.18
"4","OLS",-0.636385716938776,10.7629890703728,4.82
"5","Forest_ATE",0.995502229665052,21.9439857568529,5.47
"6","Forest_ATT",8.02450190523956,24.5846196775875,8.1
"7","Forest_overlap",-11.8189637955521,14.9381211271583,26.39
"8","Forest_close_ATE",-3.45157330581779,62.1778771948954,1.21
"9","Forest_close_ATT",-5.02709775879943,27.6040296082348,3.22
"10","Forest_close_overlap",-10.3441004385646,16.2972545068081,14.36
"11","Forest_very_close_ATE",-0.726480687248747,85.3539516151859,1.03
"12","Forest_very_close_ATT",-8.16217691147626,30.8676300616305,4.27999999999999
"13","Forest_very_close_overlap",-10.2460228778642,18.6608287708473,11.46
"14","McCrary",NA,NA,100
