"method","bias","rmse","coverage"
"RDD",-14.941380905966,28.6083565876432,10.3206412825651
"RDD_half_bw",-24.9398420242194,40.7812266526559,12.3346693386774
"RDD_double_bw",-7.58167112444108,19.9730714428381,7.48496993987976
"OLS",11.4074058263404,15.5966300862207,18.4669338677355
"Forest_ATE",-0.106476092632135,18.0507009852439,5.22044088176352
"Forest_ATT",0.663521984736293,21.2640427740872,5.57114228456914
"Forest_overlap",-1.77791016387449,9.1672410704757,5.3807615230461
"Forest_close_ATE",-2.57875074150059,27.8067472735653,1.60320641282565
"Forest_close_ATT",-1.65455797789446,21.7044529519797,3.2565130260521
"Forest_close_overlap",-2.7568020368676,10.3934442978593,5.6312625250501
"Forest_very_close_ATE",-4.57556193323168,46.428116631562,1.41282565130261
"Forest_very_close_ATT",-3.62365166679488,26.5241065147821,3.0060120240481
"Forest_very_close_overlap",-3.84236262701971,13.0071649919975,5.89178356713427
"McCrary",NA,NA,98.12625250501
