"","method","bias","rmse","coverage"
"1","RDD",-33.7559854150003,42.408498110759,29.53
"2","RDD_half_bw",-46.7244744174094,57.5347873375621,30.9
"3","RDD_double_bw",-23.7933958725526,30.6777206243392,25.19
"4","OLS",-2.41406182029225,11.0129397265265,5.36
"5","Forest_ATE",-0.825332457499213,21.9206697525381,5.48999999999999
"6","Forest_ATT",6.16424804619424,24.0480453704306,7.07
"7","Forest_overlap",-13.6121620114895,16.3928264126666,33.47
"8","Forest_close_ATE",-6.75857204373466,38.6886375024809,2.05
"9","Forest_close_ATT",-3.36298696131654,24.455353427686,3.3
"10","Forest_close_overlap",-13.8424437733986,17.2503217631915,28.56
"11","Forest_very_close_ATE",-7.51949952067478,65.1445125971329,1.63
"12","Forest_very_close_ATT",-8.19398503124691,30.4269233287729,4.32
"13","Forest_very_close_overlap",-14.1529478067813,19.0943616247799,20.59
"14","McCrary",NA,NA,100
