"","method","bias","rmse","coverage"
"1","RDD",-28.2198018496561,37.4428373392832,23.23
"2","RDD_half_bw",-36.3442868823477,48.7931765991252,20.73
"3","RDD_double_bw",-21.9583449727859,28.8015754351775,23.39
"4","OLS",-9.54882545628555,14.382743906973,14.67
"5","Forest_ATE",-1.18380805674536,23.490493332324,5.39
"6","Forest_ATT",8.89284760093565,25.0655641662026,8.67
"7","Forest_overlap",-19.7571780872295,21.7859736766772,58.82
"8","Forest_close_ATE",-9.56712925122538,40.5702171305253,3.3
"9","Forest_close_ATT",-4.26156110226279,24.608188684214,3.92
"10","Forest_close_overlap",-19.7538748041056,22.2475254743179,50.62
"11","Forest_very_close_ATE",-11.3312964376921,62.5344331615419,2.38
"12","Forest_very_close_ATT",-11.0825787595186,30.9714789734966,5.71
"13","Forest_very_close_overlap",-19.6151310177805,23.349321469355,35.04
"14","McCrary",NA,NA,98.12
