"","method","bias","rmse","coverage"
"1","RDD",-64.9446694833687,71.5346728460262,64.47
"2","RDD_half_bw",-79.3002117314802,88.1683541195304,57.77
"3","RDD_double_bw",-50.4955895783935,55.4807057474436,64.9
"4","OLS",3.13232808432634,11.1914002479024,6.06
"5","Forest_ATE",0.332338588299031,21.8190229806965,5.38
"6","Forest_ATT",5.2608204440357,23.7447317981391,6.63
"7","Forest_overlap",-8.71328954708857,12.6096910805878,16.43
"8","Forest_close_ATE",-4.57839008370443,43.9078611819226,1.49
"9","Forest_close_ATT",-2.96776976292094,25.223079969499,3.08
"10","Forest_close_overlap",-9.17203657446353,14.2093949238179,14.34
"11","Forest_very_close_ATE",-3.32359526751928,71.6376092179857,1.21
"12","Forest_very_close_ATT",-5.60105723330976,29.9077552989547,3.59
"13","Forest_very_close_overlap",-8.96920470368822,16.204872204221,10.74
"14","McCrary",NA,NA,100
