"","method","bias","rmse","coverage"
"1","RDD",-28.9376456450886,38.8040834338363,22.96
"2","RDD_half_bw",-43.091964140074,54.7765994754214,26.76
"3","RDD_double_bw",-18.1103446352523,26.5922778589231,16.84
"4","OLS",6.90146510622487,12.7738616569574,10.02
"5","Forest_ATE",-0.237268097300271,25.8984478840267,5.38
"6","Forest_ATT",2.53941380036294,24.086880934046,5.89
"7","Forest_overlap",-5.60934696461879,10.692057680777,9.71
"8","Forest_close_ATE",-3.53311414040927,47.4457009482464,1.44
"9","Forest_close_ATT",-2.0564248271145,24.9278553725643,3.08
"10","Forest_close_overlap",-6.3440519133333,12.0499027716749,9.64
"11","Forest_very_close_ATE",-4.46108494527295,84.5554782269092,1.37
"12","Forest_very_close_ATT",-4.93422977524242,30.4399104444393,3.12
"13","Forest_very_close_overlap",-7.2266712992467,14.7184024891307,8.54
"14","McCrary",NA,NA,100
