"","method","bias","rmse","coverage"
"1","RDD",-20.8358895792393,32.2809452291996,15.19
"2","RDD_half_bw",-30.0087897058286,44.3125345739491,15.63
"3","RDD_double_bw",-13.9640958882429,23.3061846951604,12.66
"4","OLS",2.09558320186085,10.9472256784036,5.27
"5","Forest_ATE",-0.573298416518759,23.8544012855485,5.2
"6","Forest_ATT",4.26814652694631,23.9167761516565,6.33
"7","Forest_overlap",-9.75968550067642,13.3531875036561,19.88
"8","Forest_close_ATE",-4.87610269215886,39.7009231242826,1.87
"9","Forest_close_ATT",-2.40919583530098,24.2920524084591,3.34
"10","Forest_close_overlap",-10.3265798786317,14.4875651795877,18.16
"11","Forest_very_close_ATE",-6.29129490565808,63.8551868100193,1.67
"12","Forest_very_close_ATT",-6.34305679415567,29.671679866458,3.87999999999999
"13","Forest_very_close_overlap",-10.8723881774279,16.6410364855835,14.06
"14","McCrary",NA,NA,98.12
